doctor_id,doctor_name,specialization,location_lat,location_lon,available_from,available_to,visit_duration_mins,priority_score,MR_id,others
DR025,Jermaine Davis,Cardiologist,19.039345,72.842843,13:00,15:00,15,7,MR3,Paracetamol is req
DR026,Paul Mcintyre,Cardiologist,19.102722,72.831391,11:00,13:00,30,1,MR3,More Calpol is required
DR027,Victoria Solis,Cardiologist,19.110934,72.83052,11:00,13:00,30,1,MR2,"Product brochure, Samples, Feedback form"
DR028,Michael Jones,Cardiologist,19.097312,72.870874,14:00,16:00,20,9,MR2,Patient feedback needed
DR029,Bradley Le,Neurologist,19.058401,72.875863,12:00,14:00,15,5,MR1,Samples of new medicine requested
DR030,Sarah Edwards,Neurologist,19.048665,72.882884,11:00,13:00,20,3,MR1,Paracetamol is req
DR031,Anthony Cain,Dermatologist,19.061967,72.873405,14:00,15:00,30,5,MR1,"Product brochure, Samples"
DR032,Carlos Norris,Dermatologist,19.053991,72.911448,10:00,12:00,20,10,MR3,"Feedback form, Survey kit"
DR033,Dalton Bean,Pediatrician,19.076471,72.853867,12:00,13:00,15,3,MR2,Visit after 8 days
DR034,Cameron Lee,Dermatologist,19.070576,72.869345,09:00,11:00,15,7,MR3,"Samples, Survey form"
DR035,Victoria Shields,Cardiologist,19.084901,72.845881,14:00,16:00,30,2,MR3,"Product brochure, Samples, Feedback form"
DR036,Sherri Thompson,Cardiologist,19.114403,72.88282,09:00,11:00,15,2,MR2,Appointment confirmation slip
DR037,Nathan Brock,Cardiologist,19.033154,72.869326,09:00,11:00,20,7,MR2,Paracetamol is req
DR038,Jordan Gonzales,Dermatologist,19.081336,72.909752,11:00,13:00,15,3,MR3,"Feedback form, Survey kit"
DR039,Thomas Malone,Dermatologist,19.085517,72.912489,09:00,10:00,15,5,MR3,More Calpol is required
DR040,Brandon Weber,Oncologist,19.111081,72.8742,13:00,14:00,15,10,MR1,More Calpol is required
DR041,Angel Carlson,Oncologist,19.049412,72.924608,11:00,13:00,30,2,MR3,"Product brochure, Samples"
DR042,Timothy Moore,Orthopedic,19.042669,72.833271,14:00,16:00,20,1,MR3,Visit after 8 days
DR043,Ronald Carter,Cardiologist,19.083457,72.881964,09:00,10:00,30,4,MR1,"Feedback form, Survey kit"
DR044,Haley Barron,Cardiologist,19.072601,72.899119,14:00,16:00,30,10,MR1,Paracetamol is req
DR045,Mark Ramos,Cardiologist,19.103101,72.891877,10:00,12:00,15,7,MR1,Visit after 8 days
DR046,Dr. Stephanie Perez,Oncologist,19.125943,72.851276,11:00,12:00,20,1,MR1,Paracetamol is req
DR047,Michael Hensley,Orthopedic,19.110665,72.886516,13:00,15:00,30,10,MR1,Visit after 8 days
DR048,Ralph Roberts,Orthopedic,19.069727,72.894515,15:00,17:00,15,9,MR1,More Calpol is required
DR049,Pamela Lynn,Pediatrician,19.11141,72.865094,14:00,16:00,20,1,MR2,Paracetamol is req
DR050,Jessica Frazier,Orthopedic,19.105227,72.883068,13:00,14:00,20,1,MR2,Paracetamol is req
DR051,Cheryl Lucero,Oncologist,19.085255,72.858333,09:00,11:00,15,4,MR2,Paracetamol is req
DR052,Mary Williams,Orthopedic,19.039296,72.876163,10:00,12:00,15,2,MR2,Paracetamol is req
DR053,Stephanie Glass,Dermatologist,19.05388,72.87363,12:00,13:00,30,10,MR1,"Samples, Survey form"
DR054,Tammy Fernandez,Neurologist,19.07448,72.912385,12:00,13:00,20,7,MR3,Samples of new medicine requested
DR055,Samuel Pena,Oncologist,19.104879,72.862966,11:00,13:00,20,5,MR3,"Samples, Survey form"
DR056,Kevin Ruiz,Cardiologist,19.081742,72.859494,13:00,15:00,15,5,MR1,"Brochure, Digital device for demo"
DR057,Heather Lambert,Pediatrician,19.077574,72.855667,11:00,13:00,30,3,MR2,More Calpol is required
DR058,Rachel Cameron,Neurologist,19.099688,72.924922,09:00,10:00,30,5,MR1,More Calpol is required
DR059,Richard Zimmerman,Pediatrician,19.119148,72.853305,15:00,17:00,15,9,MR2,Visit after 8 days
DR060,Lindsay Welch,Oncologist,19.069202,72.900399,14:00,16:00,15,3,MR3,Samples of new medicine requested
DR061,Shelia Shaw,Dermatologist,19.115553,72.86064,14:00,15:00,20,9,MR1,Paracetamol is req
DR062,Janet Dalton,Orthopedic,19.107065,72.85673,15:00,17:00,20,5,MR3,"Feedback form, Survey kit"
DR063,John Lee,Oncologist,19.082046,72.918227,10:00,12:00,15,6,MR3,"Brochure, Digital device for demo"
DR064,Brenda Johnson,Pediatrician,19.076103,72.916458,12:00,13:00,30,2,MR1,"Feedback form, Survey kit"
DR065,Steven Frazier,Oncologist,19.087269,72.908201,14:00,16:00,15,6,MR1,Visit after 8 days
DR066,Stephanie Soto,Cardiologist,19.105039,72.881824,09:00,10:00,20,9,MR1,"Product brochure, Samples, Feedback form"
DR067,Julie Mitchell,Cardiologist,19.036039,72.857953,13:00,14:00,20,8,MR3,Samples of new medicine requested
DR068,Deborah Murphy,Oncologist,19.117069,72.884538,12:00,14:00,15,2,MR1,"Product brochure, Samples"
DR069,Johnathan Wright,Oncologist,19.075097,72.830872,14:00,15:00,15,4,MR2,"Samples, Survey form"
DR070,Dennis Arias,Orthopedic,19.036495,72.921544,15:00,17:00,30,4,MR2,More Calpol is required
DR071,Karen Juarez,Orthopedic,19.047967,72.848993,14:00,16:00,30,3,MR1,"Feedback form, Survey kit"
DR072,Kelsey Sanchez,Dermatologist,19.120148,72.88558,11:00,12:00,20,6,MR3,"Brochure, Digital device for demo"
DR073,Joshua Garcia,Oncologist,19.033073,72.83293,10:00,12:00,20,5,MR1,Samples of new medicine requested
DR074,Christine Pierce,Oncologist,19.055174,72.850581,10:00,11:00,20,3,MR3,More Calpol is required
DR075,Jeffery Carter,Neurologist,19.045637,72.874259,11:00,13:00,20,1,MR1,Visit after 8 days
DR076,Brent Rubio,Dermatologist,19.11252,72.830952,09:00,10:00,30,6,MR2,Paracetamol is req
DR077,Dawn Sawyer,Oncologist,19.05283,72.887473,12:00,13:00,20,4,MR1,"Brochure, Digital device for demo"
DR078,Michelle Taylor,Pediatrician,19.033741,72.883765,09:00,11:00,20,8,MR2,Paracetamol is req
DR079,Cheryl Butler,Neurologist,19.044043,72.887625,14:00,16:00,20,1,MR3,Patient feedback needed
DR080,Jessica Woods,Dermatologist,19.117208,72.91833,10:00,11:00,30,1,MR3,Paracetamol is req
DR081,Elizabeth Meza,Pediatrician,19.125113,72.907649,12:00,13:00,30,9,MR2,Visit after 8 days
DR082,Thomas Arnold,Neurologist,19.071931,72.892716,15:00,16:00,20,5,MR2,More Calpol is required
DR083,Mary Jones,Neurologist,19.088386,72.838799,15:00,16:00,30,1,MR2,Paracetamol is req
DR084,Pamela Gonzalez,Dermatologist,19.108542,72.923611,09:00,10:00,20,3,MR2,"Feedback form, Survey kit"
DR085,James Johnson,Pediatrician,19.028029,72.851974,12:00,14:00,30,1,MR3,"Feedback form, Survey kit"
DR086,Christopher Reynolds,Pediatrician,19.079632,72.84072,15:00,16:00,20,8,MR3,Appointment confirmation slip
DR087,Autumn Hudson,Cardiologist,19.039203,72.881637,15:00,17:00,15,8,MR3,Samples of new medicine requested
DR088,Anthony Vang,Oncologist,19.055463,72.925927,10:00,12:00,15,6,MR3,Samples of new medicine requested
DR089,Katie Nelson,Neurologist,19.052867,72.884714,14:00,16:00,30,8,MR1,Patient feedback needed
DR090,Kelly Murphy,Orthopedic,19.046651,72.860184,11:00,12:00,15,3,MR2,"Product brochure, Samples"
DR091,Olivia Bell,Orthopedic,19.0529,72.86476,12:00,13:00,20,8,MR3,"Product brochure, Samples, Feedback form"
DR092,Michael Frey,Oncologist,19.029653,72.879677,11:00,12:00,20,10,MR3,Paracetamol is req
DR093,Jeremy Jenkins,Pediatrician,19.119875,72.8647,11:00,13:00,20,6,MR2,Samples of new medicine requested
DR094,Sarah Haynes,Oncologist,19.03455,72.876532,13:00,15:00,20,9,MR3,Appointment confirmation slip
DR095,Lisa Powell,Neurologist,19.112421,72.841143,11:00,12:00,15,1,MR3,"Brochure, Digital device for demo"
DR096,Kelly Rodriguez,Dermatologist,19.081827,72.895627,12:00,14:00,15,7,MR3,Visit after 8 days
DR097,Kristine Marsh,Dermatologist,19.026656,72.843262,09:00,11:00,20,4,MR3,More Calpol is required
DR098,Emily Meadows,Orthopedic,19.068606,72.85122,13:00,14:00,15,9,MR2,"Brochure, Digital device for demo"
DR099,Amanda Bautista,Neurologist,19.046953,72.862338,11:00,12:00,15,9,MR2,More Calpol is required
DR100,Noah Lee,Dermatologist,19.034621,72.891722,13:00,15:00,15,6,MR1,"Feedback form, Survey kit"
DR101,Meredith Finley,Dermatologist,19.055954,72.905992,09:00,10:00,30,10,MR1,"Brochure, Digital device for demo"
DR102,Edward Mcdaniel,Dermatologist,19.063509,72.882888,15:00,16:00,15,1,MR3,Appointment confirmation slip
DR103,Susan Campbell,Cardiologist,19.069177,72.902571,09:00,11:00,20,5,MR2,Visit after 8 days
DR104,Jordan Davis,Orthopedic,19.073276,72.867059,10:00,11:00,15,4,MR2,"Samples, Survey form"
DR105,Craig Howell,Oncologist,19.043585,72.888747,10:00,12:00,30,8,MR2,Patient feedback needed
DR106,Rhonda Paul,Neurologist,19.117338,72.851131,10:00,12:00,15,5,MR3,"Samples, Survey form"
DR107,Jose Spencer,Dermatologist,19.074072,72.835491,12:00,14:00,30,7,MR3,"Product brochure, Samples, Feedback form"
DR108,Michelle Mccarthy,Orthopedic,19.062209,72.834698,09:00,11:00,30,1,MR1,Samples of new medicine requested
DR109,Jimmy Price,Oncologist,19.116186,72.837456,14:00,15:00,30,1,MR2,"Product brochure, Samples, Feedback form"
DR110,Lori Shah,Orthopedic,19.051167,72.86247,14:00,15:00,15,9,MR2,Visit after 8 days
DR111,Dominique Johnson,Orthopedic,19.123243,72.848577,10:00,11:00,15,1,MR3,"Brochure, Digital device for demo"
DR112,Jennifer Robinson,Oncologist,19.081269,72.876497,11:00,13:00,30,6,MR1,Patient feedback needed
DR113,Deborah Wright,Pediatrician,19.093471,72.912754,09:00,10:00,20,8,MR1,More Calpol is required
DR114,Hailey Larsen,Neurologist,19.042547,72.847894,11:00,12:00,30,7,MR1,Paracetamol is req
DR115,Madeline Washington,Pediatrician,19.033373,72.855905,12:00,14:00,15,9,MR3,"Brochure, Digital device for demo"
DR116,David Dennis,Pediatrician,19.118145,72.854154,13:00,14:00,30,8,MR2,"Samples, Survey form"
DR117,Charles Young,Dermatologist,19.122714,72.863065,11:00,12:00,30,3,MR3,"Samples, Survey form"
DR118,Sara Hill,Oncologist,19.051585,72.898936,12:00,13:00,15,3,MR2,"Samples, Survey form"
DR119,Daniel Willis,Dermatologist,19.11432,72.926628,13:00,15:00,20,8,MR1,More Calpol is required
DR120,Anita Riddle,Pediatrician,19.124576,72.867273,14:00,16:00,20,7,MR1,Patient feedback needed
DR121,Jessica Valentine,Orthopedic,19.027133,72.85508,13:00,14:00,15,10,MR3,"Product brochure, Samples, Feedback form"
DR122,Hannah Ramirez,Oncologist,19.041519,72.885988,13:00,14:00,30,2,MR2,"Product brochure, Samples"
DR123,Tina Stewart,Cardiologist,19.055507,72.921772,10:00,11:00,30,7,MR1,"Samples, Survey form"
DR124,Kelly Graham,Pediatrician,19.033782,72.905718,10:00,11:00,15,2,MR3,Patient feedback needed
DR125,Vicki Phillips,Cardiologist,19.072414,72.836055,11:00,13:00,20,1,MR1,Visit after 8 days
DR126,Billy Dawson,Neurologist,19.064274,72.831132,13:00,15:00,15,9,MR2,"Brochure, Digital device for demo"
DR127,Jennifer Lawson,Dermatologist,19.054959,72.889287,13:00,14:00,30,7,MR2,Samples of new medicine requested
DR128,Timothy Glenn,Cardiologist,19.061943,72.909993,14:00,15:00,15,8,MR3,"Samples, Survey form"
DR129,William Smith,Pediatrician,19.070143,72.852805,15:00,16:00,20,10,MR3,Samples of new medicine requested
DR130,Gregory Clark,Orthopedic,19.049608,72.901113,13:00,15:00,30,4,MR3,Appointment confirmation slip
DR131,Joseph Allen,Dermatologist,19.114795,72.904095,12:00,13:00,30,3,MR3,"Product brochure, Samples, Feedback form"
DR132,Laura English,Neurologist,19.061538,72.877667,09:00,10:00,15,4,MR2,"Feedback form, Survey kit"
DR133,Tanya Elliott,Oncologist,19.074846,72.892984,12:00,14:00,30,6,MR3,"Product brochure, Samples, Feedback form"
DR134,Robert Evans,Neurologist,19.065748,72.918966,09:00,10:00,15,10,MR2,"Brochure, Digital device for demo"
DR135,Mark Cooper,Neurologist,19.096142,72.923676,13:00,15:00,20,6,MR2,Paracetamol is req
DR136,Donald Flores,Orthopedic,19.054754,72.926901,10:00,12:00,15,9,MR2,Samples of new medicine requested
DR137,Stephen Ward,Pediatrician,19.041781,72.841602,10:00,12:00,20,9,MR2,Samples of new medicine requested
DR138,Nicholas Thompson,Dermatologist,19.031874,72.926474,14:00,16:00,15,10,MR3,"Samples, Survey form"
DR139,Douglas Gentry,Neurologist,19.026306,72.896201,11:00,12:00,15,8,MR3,"Samples, Survey form"
DR140,James Bailey,Neurologist,19.061817,72.905623,09:00,10:00,30,6,MR3,Patient feedback needed
DR141,Brittany Banks,Neurologist,19.119165,72.839518,15:00,16:00,15,2,MR3,"Feedback form, Survey kit"
DR142,Christopher Thomas,Orthopedic,19.029715,72.894485,09:00,11:00,20,5,MR3,Visit after 8 days
DR143,Eric Lopez,Dermatologist,19.053185,72.846769,11:00,13:00,30,10,MR2,"Samples, Survey form"
DR144,Rebecca Patterson,Oncologist,19.052153,72.900876,09:00,11:00,20,7,MR1,Appointment confirmation slip
DR145,Carolyn Stanton,Dermatologist,19.046261,72.839372,11:00,13:00,30,2,MR2,Appointment confirmation slip
DR146,Jose Hughes,Oncologist,19.080698,72.875733,10:00,11:00,20,1,MR1,"Feedback form, Survey kit"
DR147,Mark Smith,Cardiologist,19.081492,72.840356,14:00,16:00,20,3,MR2,More Calpol is required
DR148,Gerald Lopez,Neurologist,19.102874,72.855538,09:00,10:00,30,9,MR1,"Feedback form, Survey kit"
DR149,Corey Smith,Dermatologist,19.039992,72.827815,11:00,12:00,20,2,MR1,"Feedback form, Survey kit"
DR150,Kyle Freeman,Orthopedic,19.091245,72.830257,13:00,14:00,20,4,MR1,More Calpol is required
DR151,Justin Collins,Dermatologist,19.074666,72.909228,09:00,10:00,15,3,MR3,"Product brochure, Samples, Feedback form"
DR152,Thomas Thomas,Dermatologist,19.096232,72.919221,09:00,10:00,15,1,MR3,"Product brochure, Samples"
DR153,Theresa Barber,Orthopedic,19.060558,72.893555,09:00,11:00,20,5,MR3,"Product brochure, Samples, Feedback form"
DR154,Michael Wang,Orthopedic,19.109592,72.838664,12:00,14:00,15,3,MR3,Appointment confirmation slip
DR155,Miss Mallory Wang,Dermatologist,19.125104,72.878372,10:00,12:00,20,9,MR3,More Calpol is required
DR156,Katie Morrison,Cardiologist,19.124533,72.887144,10:00,12:00,20,2,MR1,Appointment confirmation slip
DR157,Christopher Wilson,Neurologist,19.082232,72.894828,11:00,13:00,30,3,MR2,"Samples, Survey form"
DR158,Zachary Green,Orthopedic,19.083264,72.925396,12:00,14:00,20,7,MR1,Visit after 8 days
DR159,George Page,Orthopedic,19.100051,72.856076,10:00,11:00,30,10,MR3,More Calpol is required
DR160,Tiffany Leblanc,Pediatrician,19.050308,72.895396,11:00,12:00,15,4,MR3,More Calpol is required
DR161,Eileen Adams,Pediatrician,19.117515,72.886712,11:00,12:00,15,9,MR2,More Calpol is required
DR162,Tonya Clarke,Oncologist,19.035819,72.877743,11:00,13:00,15,4,MR2,Visit after 8 days
DR163,Leah Daniel,Cardiologist,19.097542,72.896364,10:00,11:00,15,5,MR2,"Product brochure, Samples"
DR164,Derek Stewart,Cardiologist,19.03634,72.90692,11:00,13:00,30,3,MR1,"Product brochure, Samples"
DR165,Robert Norris,Oncologist,19.075656,72.856809,13:00,14:00,15,5,MR1,Visit after 8 days
DR166,Adam Wells,Oncologist,19.043456,72.883794,13:00,15:00,15,3,MR3,"Product brochure, Samples, Feedback form"
DR167,Madison Cruz,Orthopedic,19.090588,72.895933,09:00,10:00,20,5,MR1,Paracetamol is req
DR168,Penny Lee,Oncologist,19.05136,72.896832,14:00,16:00,20,7,MR3,Appointment confirmation slip
DR169,Antonio Douglas,Orthopedic,19.104913,72.876009,12:00,13:00,30,2,MR1,Paracetamol is req
DR170,Samantha Lindsey,Oncologist,19.074663,72.870332,12:00,13:00,15,2,MR3,"Brochure, Digital device for demo"
DR171,Douglas Welch,Cardiologist,19.079096,72.866886,15:00,16:00,15,4,MR3,"Samples, Survey form"
DR172,Alfred Todd,Neurologist,19.101437,72.855818,12:00,13:00,15,6,MR1,Visit after 8 days
DR173,Lisa Romero,Dermatologist,19.077791,72.883942,11:00,13:00,20,1,MR1,Samples of new medicine requested
DR174,Jacqueline Carroll,Neurologist,19.061947,72.926606,11:00,13:00,30,6,MR1,"Feedback form, Survey kit"
DR175,Laura Marsh,Oncologist,19.123876,72.900704,15:00,17:00,30,10,MR1,Patient feedback needed
DR176,James Rivera,Orthopedic,19.026604,72.92137,10:00,12:00,30,6,MR3,"Brochure, Digital device for demo"
DR177,Gregory Lawrence,Dermatologist,19.050715,72.878057,12:00,13:00,30,10,MR1,"Product brochure, Samples"
DR178,Robert Cross,Dermatologist,19.034471,72.84877,14:00,16:00,30,8,MR1,Samples of new medicine requested
DR179,Aaron Patton,Neurologist,19.03151,72.875684,11:00,13:00,30,5,MR3,Patient feedback needed
DR180,Christy Walker,Oncologist,19.083966,72.884447,14:00,15:00,20,4,MR2,"Product brochure, Samples, Feedback form"
DR181,Gabriel Collins,Neurologist,19.08606,72.872287,13:00,15:00,15,10,MR2,"Product brochure, Samples"
DR182,James Lee,Dermatologist,19.0494,72.881561,10:00,12:00,15,9,MR2,Appointment confirmation slip
DR183,Peter Powers,Dermatologist,19.06556,72.879453,14:00,16:00,20,2,MR3,"Product brochure, Samples, Feedback form"
DR184,Jennifer Kelly,Orthopedic,19.09565,72.862906,09:00,10:00,20,6,MR3,Visit after 8 days
DR185,Nicole Anderson MD,Oncologist,19.082333,72.898299,12:00,13:00,30,4,MR2,Visit after 8 days
DR186,Daniel Garcia DDS,Cardiologist,19.097928,72.87322,11:00,13:00,15,8,MR3,"Samples, Survey form"
DR187,Joseph Nelson,Dermatologist,19.072052,72.902278,13:00,14:00,20,9,MR1,"Samples, Survey form"
DR188,Dawn Cole,Cardiologist,19.110974,72.842083,11:00,12:00,30,9,MR2,Appointment confirmation slip
DR189,Daniel Miranda,Pediatrician,19.076736,72.921718,12:00,14:00,15,4,MR1,"Brochure, Digital device for demo"
DR190,Erica Sellers,Oncologist,19.120378,72.862851,10:00,11:00,30,9,MR2,"Product brochure, Samples, Feedback form"
DR191,Daniel Little,Pediatrician,19.082801,72.872317,10:00,11:00,20,9,MR2,"Samples, Survey form"
DR192,Megan Campos,Cardiologist,19.036178,72.868746,15:00,17:00,15,9,MR3,"Brochure, Digital device for demo"
DR193,Shawn Reed,Dermatologist,19.117258,72.924246,13:00,15:00,15,8,MR2,Patient feedback needed
DR194,Ray Garcia,Dermatologist,19.097876,72.885054,15:00,17:00,15,10,MR2,Patient feedback needed
DR195,Cheryl Lester,Oncologist,19.029209,72.858584,15:00,16:00,20,10,MR3,"Product brochure, Samples"
DR196,Ryan Compton,Orthopedic,19.093666,72.891362,15:00,16:00,30,8,MR3,Patient feedback needed
DR197,Robert Benson,Orthopedic,19.06391,72.881423,14:00,15:00,30,10,MR2,"Feedback form, Survey kit"
DR198,Emma Evans,Neurologist,19.036292,72.917053,13:00,15:00,15,10,MR2,"Brochure, Digital device for demo"
DR199,Debra Soto,Dermatologist,19.055586,72.836575,13:00,15:00,15,2,MR2,"Product brochure, Samples"
DR200,Terry Moody,Pediatrician,19.076424,72.879131,12:00,14:00,20,4,MR1,Samples of new medicine requested
DR201,Amy Rogers,Dermatologist,19.048633,72.87112,10:00,12:00,15,6,MR1,"Product brochure, Samples"
DR202,Paul Mcgrath,Cardiologist,19.092709,72.861959,14:00,15:00,30,7,MR3,"Product brochure, Samples"
DR203,Douglas Kent,Pediatrician,19.080659,72.849121,14:00,15:00,20,4,MR3,"Brochure, Digital device for demo"
DR204,Kimberly Anthony,Oncologist,19.100074,72.918998,13:00,15:00,30,5,MR3,"Product brochure, Samples, Feedback form"
DR205,Robin Garner,Orthopedic,19.117466,72.917659,13:00,15:00,15,5,MR3,Visit after 8 days
DR206,Jason Webster,Orthopedic,19.07464,72.875056,10:00,12:00,20,5,MR1,"Product brochure, Samples, Feedback form"
DR207,Derek Huber,Pediatrician,19.109811,72.909746,14:00,16:00,20,6,MR3,Visit after 8 days
DR208,Dr. Jason Jackson,Cardiologist,19.058875,72.89169,11:00,12:00,20,10,MR3,Appointment confirmation slip
DR209,Katrina Thomas,Pediatrician,19.098668,72.861841,13:00,14:00,15,4,MR1,"Samples, Survey form"
DR210,Lindsay Pierce,Cardiologist,19.032781,72.859143,15:00,16:00,15,4,MR3,Visit after 8 days
DR211,Samantha Rodriguez,Neurologist,19.099971,72.918855,11:00,12:00,15,8,MR2,"Feedback form, Survey kit"
DR212,Eric Taylor,Orthopedic,19.06204,72.906663,11:00,13:00,30,10,MR3,Patient feedback needed
DR213,Chelsea Anthony,Neurologist,19.045215,72.864687,11:00,13:00,30,5,MR3,"Samples, Survey form"
DR214,Victoria Le,Oncologist,19.052488,72.859493,09:00,10:00,15,1,MR1,"Brochure, Digital device for demo"
DR215,Leonard Townsend,Cardiologist,19.099149,72.859712,14:00,16:00,15,9,MR3,Paracetamol is req
DR216,Nancy Mcneil,Orthopedic,19.106974,72.888816,13:00,14:00,20,3,MR1,"Product brochure, Samples, Feedback form"
DR217,Christopher Perez,Oncologist,19.039145,72.894923,10:00,12:00,15,3,MR3,Appointment confirmation slip
DR218,Joshua Hull,Pediatrician,19.054996,72.851734,09:00,10:00,15,7,MR2,Patient feedback needed
DR219,Sonya Miller,Cardiologist,19.044586,72.895456,09:00,10:00,30,3,MR3,"Samples, Survey form"
DR220,Jonathan Stokes,Pediatrician,19.055598,72.899559,15:00,16:00,20,5,MR3,Samples of new medicine requested
DR221,Scott Castillo,Dermatologist,19.085477,72.843398,11:00,13:00,15,5,MR3,"Product brochure, Samples"
DR222,Marc Castaneda,Neurologist,19.070706,72.911163,09:00,10:00,15,6,MR2,Visit after 8 days
DR223,Joshua Mullins,Orthopedic,19.108694,72.827713,11:00,12:00,20,10,MR1,"Samples, Survey form"
DR224,Crystal Gonzalez,Orthopedic,19.082201,72.921288,15:00,17:00,30,5,MR1,Patient feedback needed
DR225,Angela Cox,Oncologist,19.041291,72.861603,11:00,12:00,15,7,MR1,"Product brochure, Samples"
DR226,Eric Pena,Neurologist,19.049527,72.875849,12:00,14:00,20,7,MR2,Patient feedback needed
DR227,Jose James,Orthopedic,19.062779,72.840565,09:00,11:00,20,5,MR2,"Samples, Survey form"
DR228,Jessica Richardson,Neurologist,19.082132,72.891514,12:00,14:00,30,7,MR1,"Product brochure, Samples"
DR229,Kimberly Green,Orthopedic,19.108203,72.884541,15:00,17:00,20,10,MR2,"Product brochure, Samples"
DR230,Stephanie Miller,Dermatologist,19.111412,72.9159,15:00,16:00,20,3,MR3,"Samples, Survey form"
DR231,Kristy Smith,Oncologist,19.030226,72.916099,15:00,16:00,30,5,MR2,"Brochure, Digital device for demo"
DR232,Bryce Harris,Neurologist,19.096767,72.856565,15:00,17:00,15,4,MR3,"Samples, Survey form"
DR233,Richard Brown,Dermatologist,19.098364,72.874218,14:00,16:00,15,7,MR1,"Product brochure, Samples"
DR234,Jon Meadows,Neurologist,19.073546,72.904861,14:00,16:00,20,8,MR3,Paracetamol is req
DR235,Craig Mccoy,Orthopedic,19.093717,72.870356,10:00,11:00,20,1,MR2,Patient feedback needed
DR236,Mrs. Jodi Harper,Dermatologist,19.05091,72.865486,13:00,14:00,20,5,MR2,More Calpol is required
DR237,Jennifer Hernandez,Neurologist,19.040741,72.891962,11:00,13:00,20,6,MR1,"Product brochure, Samples, Feedback form"
DR238,Sean Nichols,Pediatrician,19.063782,72.840028,10:00,12:00,15,4,MR3,Visit after 8 days
DR239,Megan Edwards,Neurologist,19.046303,72.913719,14:00,16:00,30,3,MR3,"Product brochure, Samples"
DR240,Amy Ramirez,Cardiologist,19.093569,72.851132,09:00,11:00,30,1,MR3,"Product brochure, Samples, Feedback form"
DR241,Diane Morrison,Oncologist,19.100133,72.917904,13:00,14:00,30,1,MR2,Paracetamol is req
DR242,Kathleen Barker,Cardiologist,19.079289,72.858293,09:00,10:00,15,5,MR2,"Product brochure, Samples, Feedback form"
DR243,Ronald Hall,Cardiologist,19.081607,72.889383,15:00,17:00,30,6,MR3,"Feedback form, Survey kit"
DR244,Michael Fisher,Neurologist,19.09248,72.830753,15:00,16:00,20,7,MR3,"Product brochure, Samples"
DR245,Margaret Woods,Cardiologist,19.096367,72.903659,15:00,16:00,30,3,MR2,Samples of new medicine requested
